,transaction_code,transaction_positive,0
0,POSDW,False,40878
1,ACHDWIN,False,18111
2,ACHDDIN,True,7230
3,ACHINDD,True,5062
4,ACHDD,True,4474
5,DDATMREFUND,True,3063
6,DWATM,False,3010
7,DWTRF,False,1918
8,ACHDW,False,1841
9,DDCK,True,1458
10,IIPD,False,1433
11,POSDD,True,1276
12,DWCRDBILLPAY,False,1247
13,DDTRF,True,1053
14,DDCRDBILLREF,True,926
15,DDCASHBACK,True,891
16,DWCK,False,860
17,DWBILLPAY,False,756
18,DDA2ATXFR,True,544
19,DWMBR,False,453
20,DDMBR,True,447
21,DDLYFTBONUS,True,413
22,DDRAFCUS,True,338
23,DWATMI,False,322
24,DDRAFNEW,True,304
25,OTID,True,294
26,DDINT,True,189
27,DPNC,False,171
28,DPND,False,141
29,DDMKT,True,136
30,ACHDWP2P,False,123
31,DW,False,101
32,ACHDD,False,79
33,DDINT,False,73
34,DD,True,63
35,DWACHRET,False,57
36,POSDW,True,28
37,DDPC,True,27
38,DWCKCB,False,25
39,DDSAMPRBONUS,True,22
40,DDPROMOBONUS,True,22
41,DDPROMO,True,20
42,DWATM,True,15
43,DDCHGOFF,True,14
44,DWSLROTP,False,12
45,DDATMREFUND,False,10
46,DDACHRET,True,9
47,DDREWARDS,True,8
48,DDBILLPAY,True,8
49,DDCRDREWARD,True,6
50,DDSLBONUS,True,6
51,DDSLRBONUS,True,5
52,ACHRD,False,5
53,DWATMI,True,4
54,DDWRTOFF,True,4
55,ACHRC,False,3
56,ACHDW,True,3
57,ACHDWP2P,True,2
58,DWCRDBILLPAY,True,2
59,DWPC,False,1
60,DDCC,True,1
61,ACHDDIN,False,1
62,DWWIRE,False,1
63,DDPAYOUTADJ,True,1
